sobol_index,batch,pressure_atm,requested_vapor_fraction,benzene_feed_fraction,toluene_feed_fraction,stages,feed_stage,feed_stage_fraction,reflux_ratio,bottoms_fraction,feed_flow_kmol_h,feed_temperature_C,x_D_benzene,x_B_benzene,Q_C,Q_R,dwsim_solved,column_calculated,column_error,output_values_valid,composition_valid,temperature_valid,case_valid,error_message
83,2048,1.6424510972574353,0.20372852878645062,0.3228103186935186,0.6771896813064814,13,6,0.46153846153846156,3.445044703222811,0.5939769901335239,100.0,115.97026272304856,0.7768936735973881,0.012415788420354944,1541.1160442719079,1555.0530634165348,True,True,,True,True,True,True,
84,2048,1.1710374560207129,0.10022158585488795,0.5302312295883893,0.4697687704116107,27,15,0.5555555555555556,1.9898343943990766,0.42755249943584206,100.0,96.64173765545581,0.9254769985866395,0.0010560337247617064,1451.5570418339303,1469.292824410107,True,True,,True,True,True,True,
85,2048,1.0426912317052484,0.1743685827590525,0.6060767315328122,0.39392326846718784,29,16,0.5517241379310345,2.639371472876519,0.5634157074615359,100.0,90.42207410315638,0.9999809363016521,0.30084579543237644,1334.9871227881822,1343.0385186593353,True,True,,True,True,True,True,
86,2048,1.5208034832030535,0.12725811526179312,0.44709298983216283,0.5529070101678372,12,5,0.4166666666666667,4.45838561207056,0.40791637152433396,100.0,108.80003053154536,0.7523551288458379,0.004011386884543417,2782.9573250338476,2795.781014508788,True,True,,True,True,True,True,
87,2048,1.815288315527141,0.2940828580409288,0.5928563840687275,0.40714361593127246,25,8,0.32,2.9987110015936196,0.5382200933992862,100.0,111.12316379432713,0.9965103784926549,0.2465160385918546,1504.6670048649419,1514.8506440908077,True,True,,True,True,True,True,
88,2048,1.3712165728211403,0.0031491500325500966,0.3604354076087475,0.6395645923912525,16,10,0.625,1.5209479076787829,0.4842955073341727,100.0,107.77983552154171,0.6745150762304218,0.025986620738473947,1138.7664827548479,1149.304418722965,True,True,,True,True,True,True,
89,2048,1.2515972396358848,0.20650672707706688,0.5745608858764171,0.42543911412358293,11,4,0.36363636363636365,1.7219099043868482,0.5529117122292518,100.0,97.73683077470008,0.9478770175744339,0.2726951173224575,1023.8950423373685,1031.9577973241292,True,True,,True,True,True,True,
90,2048,1.8118609003722668,0.08483514999970794,0.3788583166897297,0.6211416833102703,30,20,0.6666666666666666,3.611367426440119,0.4192996306344867,100.0,117.85682814892033,0.6519459216826089,0.0006695607886400761,2313.0813556514454,2323.6041308765584,True,True,,True,True,True,True,
91,2048,1.602352206595242,0.260156565438956,0.6362672246992588,0.3637327753007412,17,10,0.5882352941176471,3.8343492806889117,0.5269467225298285,100.0,105.09160438275171,0.9995874344105591,0.3101056866159127,1876.787105292621,1884.9080203251438,True,True,,True,True,True,True,
92,2048,1.08418950997293,0.0449547154828906,0.41712756380438804,0.5828724361956119,24,11,0.4583333333333333,2.4270293729379775,0.494884879142046,100.0,97.37710578970575,0.8254335589481726,0.0003783796371272956,1500.9260144943266,1516.71402206587,True,True,,True,True,True,True,
93,2048,1.2057150462642312,0.2707871197722852,0.3410928528755903,0.6589071471244097,22,10,0.45454545454545453,1.3786884851753711,0.508677776157856,100.0,103.70788673551885,0.6910969464016814,0.0030318306632428535,1028.663137494025,1040.6896376323593,True,True,,True,True,True,True,
94,2048,1.730820493772626,0.03668877650052309,0.5117953445762395,0.48820465542376046,18,9,0.5,3.245593431126326,0.46256578993052244,100.0,111.71761704650805,0.9484250624949188,0.0045042926433325175,1883.7100111589637,1902.7596898563281,True,True,,True,True,True,True,
95,2048,1.933392639271915,0.16074081268161536,0.4543132003396749,0.5456867996603251,25,16,0.64,4.2162492563948035,0.5834852507337928,100.0,117.9063779113178,0.9999672481539094,0.06479424643961854,1761.8433797445655,1779.7833716083687,True,True,,True,True,True,True,
96,2048,1.380071721971035,0.13296571103855967,0.6984529267996549,0.30154707320034513,15,5,0.3333333333333333,2.7799312387593087,0.4389235027134419,100.0,97.86698221543412,0.9916267296102758,0.32368864428455785,1758.7537441344984,1765.9498398205394,True,True,,True,True,True,True,
97,2048,1.4054485885426402,0.2743552071042359,0.5418895188719034,0.4581104811280966,15,8,0.5333333333333333,2.374058187101036,0.598055568523705,100.0,102.91673136774875,0.992578842170472,0.23898843486800972,1123.260615859553,1133.2642868473968,True,True,,True,True,True,True,
98,2048,1.9080473184585571,0.021393002942204475,0.3110292065888643,0.6889707934111358,24,10,0.4166666666666667,3.784195466525852,0.43011740706861024,100.0,122.32504285146825,0.5457391961505617,5.125744494842025e-05,2375.922496811165,2383.8941170511853,True,True,,True,True,True,True,
99,2048,1.7404798651114106,0.15486051365733147,0.6535226423293352,0.3464773576706648,11,4,0.36363636363636365,3.6647438107989725,0.5220859948545694,100.0,107.7551381295649,0.9831671077872322,0.3517684209108427,1826.6790228325988,1833.410962373596,True,True,,True,True,True,True,
100,2048,1.1960243079811335,0.1458680377341807,0.4992251846939325,0.5007748153060675,28,17,0.6071428571428571,1.771658520027995,0.45569808427244424,100.0,98.31945612998999,0.9142473694897175,0.003521764630238855,1280.8204236728325,1298.5817388337857,True,True,,True,True,True,True,
